#Intervalos Hilos sec_t par_t eff speedup
100 4 1e-06 0.000132352 0.0018889 0.00755561
100 4 0.000133 1.8584e-05 1.78917 7.15669
200 4 7e-06 2.481e-06 0.705361 2.82144
200 4 0.000492 4.5508e-05 2.70282 10.8113
300 4 8e-06 1.865e-06 1.07239 4.28955
300 4 0.001092 9.9058e-05 2.75596 11.0238
100 8 5e-06 9.804e-05 0.00637495 0.0509996
100 8 3.1e-05 7.6003e-05 0.0509848 0.407879
200 8 3e-06 0.000198664 0.00188761 0.0151009
200 8 0.000131 0.000122165 0.13404 1.07232
300 8 1e-06 2.3502e-05 0.0053187 0.0425496
300 8 0.000265 0.000175472 0.188777 1.51021
100 16 1e-06 0.000147706 0.000423138 0.00677021
100 16 3.1e-05 6.5357e-05 0.0296449 0.474318
200 16 1e-06 0.000287447 0.000217431 0.0034789
200 16 0.000119 0.000121416 0.0612563 0.980101
300 16 2e-06 6.4274e-05 0.0019448 0.0311168
300 16 0.000267 0.00017961 0.0929096 1.48655
100 32 1e-06 0.000253787 0.000123135 0.00394031
100 32 4e-05 0.000110399 0.0113226 0.362322
200 32 4e-06 9.1097e-05 0.00137216 0.0439092
200 32 0.000122 0.000157368 0.0242267 0.775253
300 32 4e-06 0.000154717 0.000807927 0.0258537
300 32 0.000284 0.000219976 0.0403453 1.29105
100 64 1e-06 0.000424414 3.68155e-05 0.00235619
100 64 6.7e-05 0.000182066 0.00574998 0.367998
200 64 2e-06 0.00019273 0.000162144 0.0103772
200 64 0.00012 0.000192973 0.00971639 0.621849
300 64 7e-06 0.000134005 0.000816201 0.0522369
300 64 0.000276 0.000265687 0.0162315 1.03882
