#Intervalos Hilos sec_t par_t eff speedup isTrapMethod
100000 4 0.00169 0.000720456 0.586434 2.34574 Y
100000 4 0.006982 0.000932921 1.87101 7.48402 N
200000 4 0.009106 0.000662828 3.43453 13.7381 Y
200000 4 0.008397 0.00135338 1.55112 6.20447 N
300000 4 0.010248 0.00366627 0.698803 2.79521 Y
300000 4 0.010626 0.00193906 1.37 5.47999 N
100000 8 0.006316 0.000282221 2.79745 22.3796 Y
100000 8 0.001382 0.000170353 1.01407 8.11257 N
200000 8 0.002898 0.00033716 1.07442 8.59533 Y
200000 8 0.002549 0.000356614 0.893473 7.14778 N
300000 8 0.003836 0.000993441 0.482666 3.86133 Y
300000 8 0.003726 0.00118814 0.391998 3.13599 N
100000 16 0.001335 7.2807e-05 1.14601 18.3361 Y
100000 16 0.001775 9.4653e-05 1.17204 18.7527 N
200000 16 0.002692 0.000296976 0.566544 9.06471 Y
200000 16 0.00237 0.000187857 0.788499 12.616 N
300000 16 0.004075 0.000482999 0.527304 8.43687 Y
300000 16 0.003666 0.000262301 0.873519 13.9763 N
100000 32 0.00142 4.0367e-05 1.09929 35.1772 Y
100000 32 0.001394 5.2495e-05 0.829841 26.5549 N
200000 32 0.003282 8.9087e-05 1.15126 36.8404 Y
200000 32 0.002645 9.0672e-05 0.911596 29.1711 N
300000 32 0.004153 0.000196578 0.660202 21.1265 Y
300000 32 0.00412 0.000180905 0.7117 22.7744 N
100000 64 0.001309 1.8257e-05 1.12029 71.6985 Y
100000 64 0.0016 5.32e-05 0.469925 30.0752 N
200000 64 0.002594 4.0465e-05 1.00164 64.1048 Y
200000 64 0.002586 4.5026e-05 0.897398 57.4335 N
300000 64 0.004196 6.1514e-05 1.06581 68.2121 Y
300000 64 0.004217 0.000131733 0.500183 32.0117 N
